"","UBERON.artery.wall","UBERON.feces","UBERON.mouth","GroupContrib","Sort","Importance","Rank1","Phylum","Class","Order","Family","Genus","Species"
"406145",1.5810994837107,-0.659965304862151,-0.631617761810512,"UBERON:artery wall",1,0.510809665999698,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","NA"
"370772",1.61996687281469,-0.660740947421599,-0.61427436278405,"UBERON:artery wall",2,0.411873163439746,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Propionibacterium","acnes"
"2356875",1.44435763359052,-0.643924236104447,-0.592909517866154,"UBERON:artery wall",3,0.310913862386759,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","NA"
"388506",1.58896699490395,-0.628311133885965,-0.570400735630336,"UBERON:artery wall",4,0.292384703040386,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","NA"
"1089121",-0.69018360080837,-0.736364278437558,0.920623279476525,"UBERON:mouth",5,0.271259795059384,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","NA"
"4467774",1.55480237311305,-0.626281563025642,-0.582146467807088,"UBERON:artery wall",6,0.257074970574716,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Propionibacterium","acnes"
"3057707",1.40718491870157,-0.613692200470964,-0.565648468995863,"UBERON:artery wall",7,0.249758918553478,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","NA","NA"
"925707",-0.630048205901712,-0.667114861061117,1.20795068262386,"UBERON:mouth",8,0.220096934676648,"Bacteria","Firmicutes","Bacilli","Gemellales","Gemellaceae","NA","NA"
"824705",1.36977575101713,-0.623747278567555,-0.535914139283433,"UBERON:artery wall",9,0.184005573881651,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia","NA"
"4304528",-0.575785054396255,-0.616896961230835,1.32472812884394,"UBERON:mouth",10,0.178255871902559,"Bacteria","Firmicutes","Bacilli","Gemellales","Gemellaceae","Gemella","NA"
"2360704",1.04639648374667,-0.59676632030012,-0.539761842133269,"UBERON:artery wall",11,0.139948415873047,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia","NA"
"4383961",1.54508180487088,-0.597015692460865,-0.536947872644673,"UBERON:artery wall",12,0.134670399566613,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","NA","NA"
"2221284",1.58894301181594,-0.589466879203921,-0.532054387019743,"UBERON:artery wall",13,0.105563704863089,"Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","NA","NA"
"971038",-0.576566772224686,-0.610965311940184,1.05480166627123,"UBERON:mouth",14,0.0812486856039578,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","NA"
"837177",1.1426639077842,-0.591046370249238,-0.523004614523535,"UBERON:artery wall",15,0.0792442191817033,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","NA"
"342876",1.48181149815619,-0.586126503759724,-0.524987479650565,"UBERON:artery wall",16,0.0777716670118463,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","NA"
"802262",-0.531571093010625,-0.588406842818745,1.12411558822272,"UBERON:mouth",17,0.057844426893014,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","NA"
"832598",1.1889302620139,-0.592165048678119,-0.494682654183687,"UBERON:artery wall",18,0.00305604037345634,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","NA","NA"
"4306177",-0.550725944494508,-0.596784292220688,1.17871993718979,"UBERON:mouth",19,0.00167431464228413,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","NA"
"815169",1.29537660107376,-0.592292555689306,-0.550223415745937,"UBERON:artery wall",20,0.000129202147697236,"Bacteria","Cyanobacteria","Chloroplast","Streptophyta","NA","NA","NA"
